x,y,z,yaw,timestamp
0.000000,0.000000,0.500000,1.570796,0.000000
0.000000,0.010000,0.500000,1.570796,0.009999
0.000000,0.020000,0.500000,1.570796,0.019999
0.000000,0.030000,0.500000,1.570796,0.029998
0.000000,0.040001,0.500000,1.570796,0.039998
0.000000,0.050001,0.500000,1.570796,0.049997
0.000000,0.060001,0.500000,1.570796,0.059997
0.000000,0.070001,0.500000,1.570796,0.069996
0.000000,0.080001,0.500000,1.570796,0.079996
0.000000,0.090001,0.500000,1.570796,0.089995
0.000000,0.100002,0.500000,1.570796,0.099995
0.000000,0.110002,0.500000,1.570796,0.109994
0.000000,0.120002,0.500000,1.570796,0.119994
0.000000,0.130002,0.500000,1.570796,0.129993
0.000000,0.140002,0.500000,1.570796,0.139993
0.000000,0.150002,0.500000,1.570796,0.149992
0.000000,0.160003,0.500000,1.570796,0.159992
0.000000,0.170003,0.500000,1.570796,0.169991
0.000000,0.180003,0.500000,1.570796,0.179991
0.000000,0.190003,0.500000,1.570796,0.189990
0.000000,0.200003,0.500000,1.570796,0.199990
0.000000,0.210003,0.500000,1.570796,0.209989
0.000000,0.220004,0.500000,1.570796,0.219988
0.000000,0.230004,0.500000,1.570796,0.229988
0.000000,0.240004,0.500000,1.570796,0.239987
0.000000,0.250004,0.500000,1.570796,0.249987
0.000000,0.260004,0.500000,1.570796,0.259986
0.000000,0.270004,0.500000,1.570796,0.269986
0.000000,0.280005,0.500000,1.570796,0.279985
0.000000,0.290005,0.500000,1.570796,0.289985
0.000000,0.300005,0.500000,1.570796,0.299984
0.000000,0.310005,0.500000,1.570796,0.309984
0.000000,0.320005,0.500000,1.570796,0.319983
0.000000,0.330005,0.500000,1.570796,0.329983
0.000000,0.340006,0.500000,1.570796,0.339982
0.000000,0.350006,0.500000,1.570796,0.349982
0.000000,0.360006,0.500000,1.570796,0.359981
0.000000,0.370006,0.500000,1.570796,0.369981
0.000000,0.380006,0.500000,1.570796,0.379980
0.000000,0.390006,0.500000,1.570796,0.389980
0.000000,0.400007,0.500000,1.570796,0.399979
0.000000,0.410007,0.500000,1.570796,0.409979
0.000000,0.420007,0.500000,1.570796,0.419978
0.000000,0.430007,0.500000,1.570796,0.429977
0.000000,0.440007,0.500000,1.570796,0.439977
0.000000,0.450007,0.500000,1.570796,0.449976
0.000000,0.460008,0.500000,1.570796,0.459976
0.000000,0.470008,0.500000,1.570796,0.469975
0.000000,0.480008,0.500000,1.570796,0.479975
0.000000,0.490008,0.500000,1.570796,0.489974
0.000000,0.500008,0.500000,1.570796,0.499974
0.000000,0.510008,0.500000,1.570796,0.509973
0.000000,0.520009,0.500000,1.570796,0.519973
0.000000,0.530009,0.500000,1.570796,0.529972
0.000000,0.540009,0.500000,1.570796,0.539972
0.000000,0.550009,0.500000,1.570796,0.549971
0.000000,0.560009,0.500000,1.570796,0.559971
0.000000,0.570009,0.500000,1.570796,0.569970
0.000000,0.580010,0.500000,1.570796,0.579970
0.000000,0.590010,0.500000,1.570796,0.589969
0.000000,0.600010,0.500000,1.570796,0.599969
0.000000,0.610010,0.500000,1.570796,0.609968
0.000000,0.620010,0.500000,1.570796,0.619968
0.000000,0.630010,0.500000,1.570796,0.629967
0.000000,0.640010,0.500000,1.570796,0.639966
0.000000,0.650011,0.500000,1.570796,0.649966
0.000000,0.660011,0.500000,1.570796,0.659965
0.000000,0.670011,0.500000,1.570796,0.669965
0.000000,0.680011,0.500000,1.570796,0.679964
0.000000,0.690011,0.500000,1.570796,0.689964
